Protein_Gene	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
protein_1	84936000	25415000	17228000	20618000	10659000	11718000
protein_2	14061000000	13198000000	12154000000	6786200000	8886600000	6996300000
protein_3	6108400	658110	8289700	1190400	42510000	946240
protein_4	0	0	0	17913000	13108000	12714000
protein_5	917220	4495000	555130	125290000	73548000	112030000
protein_6	0	3439900	3796100	7710300	18011000	9443000
protein_7	97264000	18617000	570590000	187150000	3799000000	194720000
protein_8	1394900000	901580000	602550000	632300000	683600000	786330000
protein_9	5416900	414390	4282300	1048100	11550000	1062500
protein_10	37404000	11775000	519550000	67113000	4885100000	154460000
protein_11	3558400	532770	42070000	2747200	430020000	458010
protein_12	19717000	4647300	33368000	61778000	90620000	27290000
protein_13	16772000	0	0	0	61183000	157200000
protein_14	34139000	5845000	665720000	61530000	3530800000	87834000
protein_15	47299000	4012600	0	42900000	11444000	24166000
protein_16	0	0	2971500	7480200	69937000	10335000
protein_17	36453000	18050000	20339000	29257000	16165000	14525000
protein_18	11975000	2753700	3777200	6016000	11661000	14120000
protein_19	149500000	61273000	51158000	28668000	49081000	39955000
protein_20	15085000	168080	8158500	0	119580000	17911000
protein_21	0	0	952430	21144000	15956000	95130000
protein_22	29648000	15573000	9801700	11077000	8742500	5722000
protein_23	39415000	7051400	6983900	5095300	15145000	8550900
protein_24	2036200	1852600	6695100	8803600	3356300	18489000
protein_25	35390000	25957000	27754000	46273000	36411000	99152000
protein_26	158130000	36897000	95363000	251200000	179480000	458480000
protein_27	43592000	24190000	18723000	25860000	54590000	56586000
protein_28	58781000	14003000	42985000	68267000	49751000	155970000
protein_29	132110000	22639000	86475000	167850000	121290000	348140000
protein_30	13561000	3719000	8226100	5200400	9037700	7308100
protein_31	0	0	75196	8544900	20384000	36844000
protein_32	261100000	60263000	168920000	410160000	330950000	969060000
protein_33	8507000	11413000	42094000	27538000	45321000	23458000
protein_34	105010000	32891000	106720000	72579000	61829000	195500000
protein_35	6733500	1040200	5790200	13809000	6075900	38521000
protein_36	69568000	18014000	59721000	151920000	148830000	379840000
protein_37	220820000	57024000	49168000	72064000	123330000	172910000
protein_38	2937000	503460	3716000	11041000	7770300	24326000
protein_39	3649700	255000	1221000	25674000	17441000	39259000
protein_40	25329000	4375100	8322400	27203000	42145000	32775000
protein_41	23750000	8880000	28142000	148530000	91501000	236180000
protein_42	1489500000	255160000	542080000	4666000000	3536000000	7321200000
protein_43	10381000	4141100	53383000	42974000	50282000	155740000
protein_44	8973500	3249700	4592300	1240200	5933300	4395000
protein_45	128460000	23602000	68953000	7566300	2387700	10102000
protein_46	135740000	30314000	79287000	4481200	74725000	150740000
protein_47	208910000	71004000	147080000	11393000	14687000	14607000
protein_48	81894000	24726000	49003000	123820000	159810000	179050000
protein_49	44513000	22493000	16417000	30780000	28290000	72287000
protein_50	3340800	474010	4293100	52356000	24309000	106020000
protein_51	25902000	10862000	29366000	426290000	375870000	934770000
protein_52	266700	0	1610200	11632000	5525800	15381000
protein_53	3794600	351640	393750	7871500	6095900	11681000
protein_54	9570300	1027400	1761700	10561000	6957200	16000000
protein_55	111370000	17274000	69624000	6761500	955390	376690
protein_56	38429000	8401200	29788000	63265000	27369000	90374000
protein_57	4530300000	1292300000	1073000000	2762600000	2997900000	2951600000
protein_58	91240000	15966000	62254000	114380000	57413000	207650000
protein_59	199550000	23326000	46626000	161920000	137720000	150730000
protein_60	1765300000	343490000	701270000	498270000	418700000	803490000
protein_61	145180000	35947000	52675000	109190000	75600000	125050000
protein_62	5999700	3320200	2128300	12790000	17582000	16045000
protein_63	43399000	6208400	5974500	5555800	14836000	5028900
protein_64	334820000	67943000	164770000	130880000	176420000	204660000
protein_65	27499000	8052100	0	80311000	50281000	110970000
protein_66	1221000000	1112000000	1030000000	2369900	1549300	1821600
protein_67	33239000	7611000	23279000	109140000	81392000	258450000
protein_68	30702000	11214000	11644000	9635800	17556000	15105000
protein_69	143360000	23338000	84515000	146710000	150740000	380070000
protein_70	78426000	17602000	17121000	70495000	157930000	95566000
protein_71	128730000	58949000	59127000	82842000	93397000	102710000
protein_72	31295000	5586300	17292000	50634000	26129000	111220000
protein_73	13960000	2184600	5220000	37985000	44584000	51215000
protein_74	166770000	35701000	83598000	82486000	66543000	179830000
protein_75	0	551370	730360	6810900	12209000	11066000
protein_76	13298000	4355000	8313600	64313000	51679000	120840000
protein_77	6169200	2061000	3855700	14929000	9264500	33209000
